DIST	Incumbent	Biden 2020	Trump 2020	Harris 2024	Trump 2024	2026 PVI	2026 Raw PVI	2026 PVI Rank	2025 PVI	2025 Raw PVI	2025 PVI Rank	Raw PVI Shift
TX-08	OPEN (Luttrell) (R)	115154	167935	109560	194738	R+13	-12.83236656	356	R+16	-16.30718	375	3.5
TX-09	OPEN (Green) (D)	93941	111907	78639	118132	R+9	-8.622345292	291	D+24	23.53255	39	-32.2
TX-10	OPEN (McCaul) (R)	144424	195622	134085	213878	R+10	-10.48624103	323	R+12	-11.81423	336	1.3
TX-11	August Pfluger (R)	101256	190220	94213	194696	R+17	-16.86271365	390	R+22	-22.31844	416	5.5
TX-12	Craig Goldman (R)	118763	170831	117738	192719	R+11	-11.3093057	339	R+11	-10.8785	320	-0.4
TX-13	Ronny Jackson (R)	81303	213331	80162	220441	R+23	-23.10597519	425	R+24	-23.88614	425	0.8
TX-14	Randy Weber (R)	124542	193976	124943	206349	R+12	-11.94440882	352	R+17	-16.51687	378	4.6
TX-15	Monica De La Cruz (R)	109875	115253	92600	133315	R+7	-7.061875612	268	R+7	-7.1166	270	0.1
TX-16	Veronica Escobar (D)	163993	76842	131985	94338	D+11	10.75628028	113	D+11	10.564768	125	0.2
TX-17	Pete Sessions (R)	132377	180962	123163	192428	R+10	-10.17350621	313	R+14	-13.96194	351	3.8
TX-18	Christian Menefee (D)	217360	47152	186782	53117	D+29	28.9325222	19	D+21	21.277481	48	7.7
TX-19	OPEN (Arrington) (R)	73170	202442	66862	212708	R+25	-25.43086019	429	R+25	-25.42918	427	0
TX-20	Joaquin Castro (D)	172231	72239	144230	79593	D+16	15.937258	81	D+12	12.276087	110	3.7
TX-21	OPEN (Roy) (R)	161525	227694	159472	249919	R+10	-10.41487274	321	R+11	-11.46235	332	1
TX-22	OPEN (Nehls) (R)	131979	188014	126899	201258	R+11	-10.69117614	327	R+9	-9.44251	296	-1.2
TX-23	VACANT (Gonzales) (R)	138493	160217	133969	181141	R+7	-6.527747949	260	R+7	-6.80887	267	0.3
TX-24	Beth Van Duyne (R)	164122	211300	153071	213069	R+8	-7.720736144	278	R+7	-7.48065	274	-0.2
TX-25	Roger Williams (R)	124453	172083	115592	189981	R+11	-11.14172258	335	R+18	-17.74265	387	6.6
